v,e,algoType,runtime
1203,77084,1,38243
1203,106152,0,6694
1203,106152,1,103834
1203,146181,0,7789
1203,146181,1,154479
1203,201305,0,8710
1203,201305,1,218892
1203,277215,0,10484
1203,277215,1,312352
1203,381750,0,11939
1203,381750,1,437019
1203,525704,0,9930
1203,525704,1,318598
1203,723003,0,3698
1203,723003,1,452113
1303,1302,0,4545
1303,1302,1,7
1303,1302,0,5602
1303,1302,1,14
1303,1801,0,5876
1303,1801,1,20
1303,2491,0,4909
1303,2491,1,37
1303,3445,0,3134
1303,3445,1,97
1303,4764,0,3043
1303,4764,1,311
1303,6587,0,3066
1303,6587,1,1164
1303,9108,0,3077
1303,9108,1,1418
1303,12593,0,3021
1303,12593,1,3448
1303,17412,0,3019
1303,17412,1,5958
1303,24074,0,3238
1303,24074,1,8578
1303,33285,0,3350
